id,cluster,accident_year,latitude,longitude,n_serious,n_fatal,danger_rank,gmaps_link,date,time,junction_detail,junction_control
201501XD80248,555,2015,51.510843,-0.319597,1,0,71.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.510843+-0.319597,2015-03-31,13:00,Crossroads,Auto traffic signal
2017010064137,555,2017,51.51093,-0.319283,0,1,71.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.51093+-0.319283,2017-10-12,13:30,Crossroads,Auto traffic signal
2020010256279,555,2020,51.510896,-0.319457,1,0,71.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.510896+-0.319457,2020-07-12,12:31,Crossroads,Auto traffic signal
200001GN00490,36,2000,51.545987,-0.076129,1,0,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.545987+-0.076129,2000-09-20,08:35,More than 4 arms (not roundabout),Auto traffic signal
200001GN00561,36,2000,51.54616,-0.075689,1,0,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54616+-0.075689,2000-10-31,20:00,Crossroads,Auto traffic signal
200201GD00306,36,2002,51.545982,-0.075841,1,0,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.545982+-0.075841,2002-04-07,11:20,More than 4 arms (not roundabout),Auto traffic signal
200701GD65356,36,2007,51.54607,-0.075693,1,0,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54607+-0.075693,2007-07-07,00:30,T or staggered junction,Auto traffic signal
200901GD10464,36,2009,51.546065,-0.075404,1,0,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.546065+-0.075404,2009-07-25,16:18,T or staggered junction,Give way or uncontrolled
200901GD10667,36,2009,51.545892,-0.075844,1,0,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.545892+-0.075844,2009-09-03,20:40,T or staggered junction,Give way or uncontrolled
201101TD00022,36,2011,51.54607,-0.075693,0,1,72.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54607+-0.075693,2011-02-02,16:47,T or staggered junction,Auto traffic signal
200101LX01945,127,2001,51.488108,-0.111409,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488108+-0.111409,2001-12-05,20:50,More than 4 arms (not roundabout),Auto traffic signal
200901LX50273,127,2009,51.488555,-0.111246,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488555+-0.111246,2009-04-02,07:30,T or staggered junction,Auto traffic signal
200901LX50302,127,2009,51.488108,-0.111409,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488108+-0.111409,2009-04-21,07:50,T or staggered junction,Auto traffic signal
201001LX50246,127,2010,51.488287,-0.111401,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488287+-0.111401,2010-04-01,18:20,T or staggered junction,Auto traffic signal
201601LX50563,127,2016,51.488555,-0.111247,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488555+-0.111247,2016-06-01,14:05,Crossroads,Auto traffic signal
2018010128597,127,2018,51.488343,-0.111396,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.488343+-0.111396,2018-08-23,06:28,Crossroads,Auto traffic signal
2020010256869,127,2020,51.48791,-0.111313,1,0,73.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.48791+-0.111313,2020-07-16,07:05,T or staggered junction,Auto traffic signal
200101LX00288,122,2001,51.463719,-0.132715,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463719+-0.132715,2001-02-23,19:50,T or staggered junction,Give way or uncontrolled
200601LX50241,122,2006,51.463889,-0.132133,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463889+-0.132133,2006-04-06,11:30,T or staggered junction,Give way or uncontrolled
200701LX65352,122,2007,51.463629,-0.132719,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463629+-0.132719,2007-07-02,19:00,T or staggered junction,Give way or uncontrolled
201501LX50282,122,2015,51.463684,-0.132739,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463684+-0.132739,2015-03-23,19:49,T or staggered junction,Give way or uncontrolled
2017010024988,122,2017,51.463685,-0.132713,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463685+-0.132713,2017-03-13,18:05,T or staggered junction,Give way or uncontrolled
2020010252726,122,2020,51.463879,-0.132461,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463879+-0.132461,2020-06-20,22:20,T or staggered junction,Give way or uncontrolled
2020010276022,122,2020,51.463695,-0.132799,1,0,74.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.463695+-0.132799,2020-10-26,14:55,Crossroads,Give way or uncontrolled
201101GD10520,489,2011,51.549403,-0.059686,1,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.549403+-0.059686,2011-07-08,21:45,More than 4 arms (not roundabout),Auto traffic signal
201101TA01615,489,2011,51.549408,-0.059974,1,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.549408+-0.059974,2011-10-02,16:45,More than 4 arms (not roundabout),Auto traffic signal
2017010076481,489,2017,51.54946,-0.059825,1,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.54946+-0.059825,2017-12-09,10:17,Crossroads,Auto traffic signal
2019010191647,489,2019,51.549399,-0.059899,1,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.549399+-0.059899,2019-07-01,17:45,More than 4 arms (not roundabout),unknown (self reported)
2020010231706,489,2020,51.549582,-0.05956,1,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.549582+-0.05956,2020-01-21,05:15,Mini-roundabout,Auto traffic signal
2020010270392,489,2020,51.549519,-0.059534,1,0,75.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.549519+-0.059534,2020-09-27,15:00,More than 4 arms (not roundabout),Auto traffic signal
200101YR01107,154,2001,51.570682,-0.096011,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570682+-0.096011,2001-11-09,10:00,T or staggered junction,Auto traffic signal
200601TC00364,154,2006,51.570679,-0.095866,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570679+-0.095866,2006-11-29,07:30,Crossroads,Auto traffic signal
201001GD10412,154,2010,51.570502,-0.096018,1,0,76.0,http://maps.google.com/maps?z=12&t=m&q=loc:51.570502+-0.096018,2010-06-17,09:45,Crossroads,Auto traffic signal
